"";"squads_player_id";"squads_tournament_id";"squads_team_id";"squads_shirt_number";"squads_position_name";"players_family_name";"players_given_name";"players_birth_date";"players_female";"players_goal_keeper";"players_defender";"players_midfielder";"players_forward"
"1020";"P-07520";"WC-2002";"T-11";5;"defender";"Kalla";"Raymond";"1975-04-22";0;0;1;0;0
"1021";"P-07520";"WC-1998";"T-11";5;"defender";"Kalla";"Raymond";"1975-04-22";0;0;1;0;0
"1022";"P-07520";"WC-1994";"T-11";13;"defender";"Kalla";"Raymond";"1975-04-22";0;0;1;0;0
"1023";"P-07522";"WC-2019";"T-64";8;"midfielder";"Little";"Kim";"1990-06-29";1;0;0;1;0
"1024";"P-07526";"WC-1930";"T-56";0;"midfielder";"Denegri";"Alberto";"1906-08-07";0;0;0;1;0
"1025";"P-07544";"WC-1962";"T-16";17;"forward";"Klinger";"Marino";"1936-02-07";0;0;0;0;1
"1026";"P-07545";"WC-1958";"T-09";13;"midfielder";"Moacir";"not applicable";"1936-05-18";0;0;0;1;0
"1027";"P-07553";"WC-1990";"T-83";18;"goal keeper";"Keller";"Kasey";"1969-11-29";0;1;0;0;0
"1028";"P-07553";"WC-2002";"T-83";18;"goal keeper";"Keller";"Kasey";"1969-11-29";0;1;0;0;0
"1029";"P-07553";"WC-2006";"T-83";18;"goal keeper";"Keller";"Kasey";"1969-11-29";0;1;0;0;0
"1030";"P-07553";"WC-1998";"T-83";18;"goal keeper";"Keller";"Kasey";"1969-11-29";0;1;0;0;0
"1031";"P-07554";"WC-1986";"T-12";4;"midfielder";"Ragan";"Randy";"1959-06-07";0;0;0;1;0
"1032";"P-07559";"WC-2002";"T-58";19;"midfielder";"Capucho";"not applicable";"1972-02-21";0;0;0;1;0
"1033";"P-07563";"WC-1950";"T-28";0;"defender";"Hughes";"Laurie";"1924-03-02";0;0;1;0;0
"1034";"P-07569";"WC-2019";"T-70";1;"goal keeper";"Mpuru";"Mapaseka";"1998-04-09";1;1;0;0;0
"1035";"P-07577";"WC-1998";"T-11";17;"defender";"Pensée";"Michel";"1973-06-16";0;0;1;0;0
"1036";"P-07585";"WC-1998";"T-44";14;"forward";"Okano";"Masayuki";"1972-07-25";0;0;0;0;1
"1037";"P-07594";"WC-2018";"T-50";23;"goal keeper";"Uzoho";"Francis";"1998-10-28";0;1;0;0;0
"1038";"P-07614";"WC-2018";"T-17";14;"midfielder";"Azofeifa";"Randall";"1984-12-30";0;0;0;1;0
"1039";"P-07614";"WC-2006";"T-17";14;"midfielder";"Azofeifa";"Randall";"1984-12-30";0;0;0;1;0
"1040";"P-07620";"WC-1950";"T-87";0;"forward";"Tomašević";"Kosta";"1923-07-25";0;0;0;0;1
"1041";"P-07624";"WC-2010";"T-35";23;"defender";"Mendoza";"Sergio";"1981-05-23";0;0;1;0;0
"1042";"P-07625";"WC-2007";"T-51";9;"midfielder";"Ri";"Un-suk";"1986-01-01";1;0;0;1;0
"1043";"P-07639";"WC-1950";"T-73";0;"midfielder";"Nando";"not applicable";"1921-02-01";0;0;0;1;0
"1044";"P-07642";"WC-2019";"T-03";2;"defender";"Barroso";"Agustina";"1993-05-20";1;0;1;0;0
"1045";"P-07663";"WC-1982";"T-06";3;"defender";"Millecamps";"Luc";"1951-09-10";0;0;1;0;0
"1046";"P-07670";"WC-2022";"T-18";8;"midfielder";"Kovačić";"Mateo";"1994-05-06";0;0;0;1;0
"1047";"P-07670";"WC-2014";"T-18";20;"midfielder";"Kovačić";"Mateo";"1994-05-06";0;0;0;1;0
"1048";"P-07670";"WC-2018";"T-18";8;"midfielder";"Kovačić";"Mateo";"1994-05-06";0;0;0;1;0
"1049";"P-07679";"WC-1994";"T-09";15;"defender";"Santos";"Márcio";"1969-09-15";0;0;1;0;0
"1050";"P-07683";"WC-2002";"T-60";18;"defender";"Kelly";"Gary";"1974-07-09";0;0;1;0;0
"1051";"P-07683";"WC-1994";"T-60";12;"defender";"Kelly";"Gary";"1974-07-09";0;0;1;0;0
"1052";"P-07687";"WC-1990";"T-16";22;"forward";"Hernández";"Rubén Darío";"1965-02-19";0;0;0;0;1
"1053";"P-07698";"WC-2015";"T-75";15;"defender";"Abbé";"Caroline";"1988-01-13";1;0;1;0;0
"1054";"P-07709";"WC-1950";"T-13";0;"midfielder";"Saez";"Osvaldo";"1923-08-13";0;0;0;1;0
"1055";"P-07710";"WC-1986";"T-57";14;"defender";"Kubicki";"Dariusz";"1963-06-06";0;0;1;0;0
"1056";"P-07720";"WC-1998";"T-83";10;"midfielder";"Ramos";"Tab";"1966-09-21";0;0;0;1;0
"1057";"P-07720";"WC-1994";"T-83";9;"midfielder";"Ramos";"Tab";"1966-09-21";0;0;0;1;0
"1058";"P-07720";"WC-1990";"T-83";7;"midfielder";"Ramos";"Tab";"1966-09-21";0;0;0;1;0
"1059";"P-07753";"WC-1986";"T-47";5;"defender";"Bouyahyaoui";"Noureddine";"1955-01-07";0;0;1;0;0
"1060";"P-07772";"WC-1995";"T-28";10;"midfielder";"Burke";"Karen";"1971-06-14";1;0;0;1;0
"1061";"P-07796";"WC-2018";"T-16";17;"defender";"Mojica";"Johan";"1992-08-21";0;0;1;0;0
"1062";"P-07807";"WC-2018";"T-16";15;"midfielder";"Uribe";"Mateus";"1991-03-21";0;0;0;1;0
"1063";"P-07810";"WC-1982";"T-05";21;"goal keeper";"Feurer";"Herbert";"1954-01-14";0;1;0;0;0
"1064";"P-07812";"WC-1970";"T-46";19;"forward";"Valdivia";"Javier";"1941-12-04";0;0;0;0;1
"1065";"P-07864";"WC-2014";"T-04";18;"goal keeper";"Galekovic";"Eugene";"1981-06-12";0;1;0;0;0
"1066";"P-07864";"WC-2010";"T-04";18;"goal keeper";"Galekovic";"Eugene";"1981-06-12";0;1;0;0;0
"1067";"P-07865";"WC-2006";"T-71";4;"defender";"Choi";"Jin-cheul";"1971-03-26";0;0;1;0;0
"1068";"P-07865";"WC-2002";"T-71";4;"defender";"Choi";"Jin-cheul";"1971-03-26";0;0;1;0;0
"1069";"P-07867";"WC-1934";"T-73";0;"goal keeper";"Zamora";"Ricardo";"1901-01-21";0;1;0;0;0
"1070";"P-07870";"WC-2014";"T-30";18;"midfielder";"Sissoko";"Moussa";"1989-08-16";0;0;0;1;0
"1071";"P-07875";"WC-2022";"T-32";5;"midfielder";"Partey";"Thomas";"1993-06-13";0;0;0;1;0
"1072";"P-07876";"WC-2011";"T-12";3;"midfielder";"Parker";"Kelly";"1981-03-08";1;0;0;1;0
"1073";"P-07892";"WC-1994";"T-33";1;"goal keeper";"Minou";"Antonis";"1958-05-04";0;1;0;0;0
"1074";"P-07902";"WC-1994";"T-74";22;"goal keeper";"Hedman";"Magnus";"1973-03-19";0;1;0;0;0
"1075";"P-07902";"WC-2002";"T-74";1;"goal keeper";"Hedman";"Magnus";"1973-03-19";0;1;0;0;0
"1076";"P-07928";"WC-2010";"T-33";13;"goal keeper";"Sifakis";"Michalis";"1984-09-09";0;1;0;0;0
"1077";"P-07951";"WC-1998";"T-41";16;"midfielder";"Di Matteo";"Roberto";"1970-05-29";0;0;0;1;0
"1078";"P-07955";"WC-1986";"T-58";20;"defender";"Inácio";"Augusto";"1955-02-01";0;0;1;0;0
"1079";"P-07960";"WC-2019";"T-03";12;"goal keeper";"Garton";"Gaby";"1990-05-27";1;1;0;0;0
"1080";"P-07972";"WC-1930";"T-61";0;"midfielder";"Raffinsky";"László";"1905-04-23";0;0;0;1;0
"1081";"P-07972";"WC-1938";"T-61";0;"midfielder";"Raffinsky";"László";"1905-04-23";0;0;0;1;0
"1082";"P-07978";"WC-1978";"T-56";21;"goal keeper";"Quiroga";"Ramón";"1950-07-23";0;1;0;0;0
"1083";"P-07978";"WC-1982";"T-56";21;"goal keeper";"Quiroga";"Ramón";"1950-07-23";0;1;0;0;0
"1084";"P-07985";"WC-1978";"T-46";1;"goal keeper";"Reyes";"José Pilar";"1955-10-12";0;1;0;0;0
"1085";"P-08028";"WC-2006";"T-77";1;"goal keeper";"Tchagnirou";"Ouro-Nimini";"1977-12-31";0;1;0;0;0
"1086";"P-08045";"WC-1966";"T-73";17;"defender";"Gallego";"not applicable";"1944-03-04";0;0;1;0;0
"1087";"P-08049";"WC-2010";"T-51";6;"midfielder";"Kim";"Kum-il";"1987-10-10";0;0;0;1;0
"1088";"P-08051";"WC-1982";"T-45";15;"defender";"Al-Hashash";"Sami";"1959-09-15";0;0;1;0;0
"1089";"P-08052";"WC-1934";"T-48";0;"goal keeper";"Halle";"Leo";"1903-02-17";0;1;0;0;0
"1090";"P-08069";"WC-2010";"T-58";5;"midfielder";"Duda";"not applicable";"1980-06-27";0;0;0;1;0
"1091";"P-08071";"WC-1986";"T-72";22;"goal keeper";"Krakovskiy";"Serhiy";"1960-08-11";0;1;0;0;0
"1092";"P-08096";"WC-1990";"T-64";3;"defender";"Aitken";"Roy";"1958-11-24";0;0;1;0;0
"1093";"P-08096";"WC-1986";"T-64";8;"defender";"Aitken";"Roy";"1958-11-24";0;0;1;0;0
"1094";"P-08113";"WC-2006";"T-67";16;"defender";"Petković";"Dušan";"1974-06-13";0;0;1;0;0
"1095";"P-08125";"WC-2022";"T-63";12;"defender";"Abdulhamid";"Saud";"1999-07-18";0;0;1;0;0
"1096";"P-08129";"WC-1991";"T-15";14;"forward";"Ko";"Chiao-lin";"1973-09-14";1;0;0;0;1
"1097";"P-08131";"WC-1938";"T-23";0;"forward";"Pattiwael";"Isaak";"1914-02-23";0;0;0;0;1
"1098";"P-08136";"WC-1954";"T-86";12;"forward";"Rahn";"Helmut";"1929-08-16";0;0;0;0;1
"1099";"P-08136";"WC-1958";"T-86";8;"forward";"Rahn";"Helmut";"1929-08-16";0;0;0;0;1
"1100";"P-08153";"WC-1995";"T-74";2;"defender";"Lundgren";"Malin";"1967-03-09";1;0;1;0;0
"1101";"P-08153";"WC-1991";"T-74";2;"defender";"Lundgren";"Malin";"1967-03-09";1;0;1;0;0
"1102";"P-08154";"WC-2006";"T-31";18;"midfielder";"Borowski";"Tim";"1980-05-02";0;0;0;1;0
"1103";"P-08169";"WC-2022";"T-28";8;"midfielder";"Henderson";"Jordan";"1990-06-17";0;0;0;1;0
"1104";"P-08169";"WC-2014";"T-28";14;"midfielder";"Henderson";"Jordan";"1990-06-17";0;0;0;1;0
"1105";"P-08169";"WC-2018";"T-28";8;"midfielder";"Henderson";"Jordan";"1990-06-17";0;0;0;1;0
"1106";"P-08190";"WC-2011";"T-53";8;"defender";"Vikestad";"Runa";"1984-08-13";1;0;1;0;0
"1107";"P-08196";"WC-1998";"T-55";14;"defender";"Rojas";"Ricardo";"1971-01-26";0;0;1;0;0
"1108";"P-08232";"WC-1991";"T-50";11;"forward";"Showemimo";"Gift";"1974-05-24";1;0;0;0;1
"1109";"P-08234";"WC-1950";"T-28";0;"forward";"Milburn";"Jackie";"1924-05-11";0;0;0;0;1
"1110";"P-08239";"WC-1990";"T-21";7;"midfielder";"Bílek";"Michal";"1965-04-13";0;0;0;1;0
"1111";"P-08253";"WC-2018";"T-50";14;"forward";"Iheanacho";"Kelechi";"1996-03-10";0;0;0;0;1
"1112";"P-08262";"WC-1998";"T-73";16;"midfielder";"Celades";"Albert";"1975-09-29";0;0;0;1;0
"1113";"P-08264";"WC-2019";"T-71";10;"forward";"Ji";"So-yun";"1991-02-21";1;0;0;1;1
"1114";"P-08264";"WC-2015";"T-71";10;"midfielder";"Ji";"So-yun";"1991-02-21";1;0;0;1;1
"1115";"P-08268";"WC-1970";"T-27";1;"goal keeper";"Magaña";"Raúl";"1940-02-24";0;1;0;0;0
"1116";"P-08275";"WC-2014";"T-62";20;"midfielder";"Fayzulin";"Viktor";"1986-04-22";0;0;0;1;0
"1117";"P-08277";"WC-1958";"T-21";3;"midfielder";"Čadek";"Jiří";"1935-12-07";0;0;0;1;0
"1118";"P-08286";"WC-1966";"T-30";7;"defender";"Chorda";"André";"1938-02-20";0;0;1;0;0
"1119";"P-08289";"WC-1990";"T-60";4;"defender";"McCarthy";"Mick";"1959-02-07";0;0;1;0;0
"1120";"P-08298";"WC-1974";"T-24";8;"forward";"Löwe";"Wolfram";"1945-05-14";0;0;0;0;1
"1121";"P-08305";"WC-2010";"T-13";13;"midfielder";"Estrada";"Marco";"1983-05-28";0;0;0;1;0
"1122";"P-08307";"WC-2002";"T-28";11;"forward";"Heskey";"Emile";"1978-01-11";0;0;0;0;1
"1123";"P-08307";"WC-2010";"T-28";21;"forward";"Heskey";"Emile";"1978-01-11";0;0;0;0;1
"1124";"P-08309";"WC-2015";"T-17";11;"forward";"Rodríguez";"Raquel";"1993-10-28";1;0;0;0;1
